id,standardWord,venezuelanWord,definition,pronunciation,examples,culturalContext,category,difficulty,cardId
172,novia,novia,pareja femenina,NOH-vee-ah,"Mi novia linda|Novia querida|Novia cariñosa",Pareja sentimental femenina,expression,1,card_novia
173,bebé,bebé,niño muy pequeño,beh-BEH,"El bebé está durmiendo|Bebé hermoso|Bebé tranquilo",Niño recién nacido o muy pequeño,expression,1,card_bebe
174,niño,niño,menor de edad,NEE-nyoh,"El niño está jugando|Niño travieso|Niño inteligente",Menor de edad masculino,expression,1,card_nino
175,niña,niña,menor de edad femenina,NEE-nyah,"La niña está jugando|Niña linda|Niña inteligente",Menor de edad femenina,expression,1,card_nina
176,joven,joven,persona de poca edad,HOH-vehn,"El joven estudia|Joven trabajador|Joven responsable",Persona en la juventud,expression,1,card_joven
177,adulto,adulto,persona madura,ah-DOOL-toh,"El adulto trabaja|Adulto responsable|Adulto maduro",Persona en edad madura,expression,1,card_adulto
178,anciano,anciano,persona de edad avanzada,ahn-see-AH-noh,"El anciano descansa|Anciano sabio|Anciano respetado",Persona de tercera edad,expression,2,card_anciano
179,hombre,hombre,persona masculina,OHM-breh,"El hombre trabaja|Hombre bueno|Hombre honesto",Persona del sexo masculino,expression,1,card_hombre
180,mujer,mujer,persona femenina,moo-HEHR,"La mujer trabaja|Mujer buena|Mujer honesta",Persona del sexo femenino,expression,1,card_mujer
181,persona,persona,ser humano,pehr-SOH-nah,"Esa persona es buena|Persona amable|Persona honesta",Ser humano en general,expression,1,card_persona
182,gente,gente,conjunto de personas,HEHN-teh,"La gente está contenta|Gente amable|Gente trabajadora",Conjunto de personas,expression,1,card_gente
183,familia,familia,grupo familiar,fah-MEE-lee-ah,"Mi familia querida|Familia unida|Familia feliz",Grupo de familiares,expression,1,card_familia
184,casa,casa,vivienda,KAH-sah,"Mi casa bonita|Casa cómoda|Casa familiar",Lugar donde se vive,expression,1,card_casa
185,hogar,hogar,lugar del corazón,oh-GAHR,"Mi hogar dulce|Hogar feliz|Hogar acogedor",Casa vista con cariño,expression,1,card_hogar
186,cuarto,cuarto,habitación,KWAHR-toh,"Mi cuarto ordenado|Cuarto cómodo|Cuarto bonito",Habitación de la casa,expression,1,card_cuarto
187,sala,sala,área de estar,SAH-lah,"La sala está linda|Sala cómoda|Sala familiar",Área principal de la casa,expression,1,card_sala
188,cocina,cocina,área de preparar comida,koh-SEE-nah,"La cocina está limpia|Cocina equipada|Cocina moderna",Lugar donde se cocina,expression,1,card_cocina
189,baño,baño,área de aseo,BAH-nyoh,"El baño está limpio|Baño cómodo|Baño moderno",Lugar de aseo personal,expression,1,card_bano
190,jardín,jardín,área verde,hahr-DEEN,"El jardín está bonito|Jardín florido|Jardín cuidado",Área verde de la casa,expression,1,card_jardin
191,patio,patio,área exterior,PAH-tee-oh,"El patio está limpio|Patio grande|Patio familiar",Área exterior de la casa,expression,1,card_patio
192,garage,garage,lugar para el carro,gah-RAH-heh,"El garage está cerrado|Garage amplio|Garage seguro",Lugar donde se guarda el carro,expression,2,card_garage
193,puerta,puerta,entrada de la casa,PWEHR-tah,"La puerta está abierta|Puerta segura|Puerta bonita",Entrada principal,expression,1,card_puerta
194,ventana,ventana,abertura para luz,vehn-TAH-nah,"La ventana está abierta|Ventana grande|Ventana limpia",Abertura para entrada de luz,expression,1,card_ventana
195,techo,techo,parte superior,TEH-choh,"El techo está bueno|Techo sólido|Techo reparado",Parte superior de la casa,expression,1,card_techo
196,piso,piso,parte inferior,PEE-soh,"El piso está limpio|Piso bonito|Piso brillante",Superficie donde se camina,expression,1,card_piso
197,pared,pared,división vertical,pah-REHD,"La pared está pintada|Pared sólida|Pared decorada",División vertical de los espacios,expression,1,card_pared
198,luz,luz,iluminación,LOOS,"La luz está encendida|Luz brillante|Luz natural",Iluminación del hogar,expression,1,card_luz
199,agua,agua,líquido vital,AH-gwah,"El agua está fría|Agua limpia|Agua fresca",Líquido esencial para la vida,expression,1,card_agua
200,aire,aire,elemento gaseoso,AH-ee-reh,"El aire está fresco|Aire puro|Aire limpio",Elemento que respiramos,expression,1,card_aire
